image_path,expected,predicted,is_correct,status
defect\08C10HZ124202KJ_transformed_08C10HZ124202KJ_green_FFF_1746513692681.png,defect,No,False,Incorrect
defect\0BC12JV15B202LQ_JKYW_transformed_0BC12JV15B202LQ_JKYW_green_FFF_1745407574126.png,defect,Yes,True,Correct
defect\0DC100211C201NY_transformed_0DC100211C201NY_green_FFF_1746685695302.png,defect,Yes,True,Correct
defect\0DC100211G200SM_transformed_0DC100211G200SM_green_FFF_1745835337783.png,defect,Yes,True,Correct
defect\0EC10GE31320EHX_transformed_0EC10GE31320EHX_green_FFF_1747205087329.png,defect,Yes,True,Correct
defect\0EC10GS25K201G0_transformed_0EC10GS25K201G0_green_FFF_1746694678131.png,defect,No,False,Incorrect
defect\0EC10T3118200LH_transformed_0EC10T3118200LH_green_FFF_1745313665378.png,defect,Yes,True,Correct
defect\0EC10T31852040S_2X01_transformed_0EC10T31852040S_2X01_green_FFF_1745390595342.png,defect,Yes,True,Correct
defect\0EC10UN0CM206FJ_transformed_0EC10UN0CM206FJ_green_FFF_1746513404038.png,defect,Yes,True,Correct
defect\0EC20U311T2032C_transformed_0EC20U311T2032C_green_FFF_1747645785134.png,defect,Yes,True,Correct
defect\0FC13Y326322186_transformed_0FC13Y326322186_green_FFF_1745814251119.png,defect,Yes,True,Correct
defect\0FC30940BR20500_transformed_0FC30940BR20500_green_FFF_1744980365840.png,defect,Yes,True,Correct
defect\0FC32GC1CY206HP_transformed_0FC32GC1CY206HP_green_FFF_1745389976897.png,defect,No,False,Incorrect
defect\0FC50X91952021D_transformed_0FC50X91952021D_green_FFF_1745327586978.png,defect,Yes,True,Correct
defect\0FC50X919620374_transformed_0FC50X919620374_green_FFF_1747031997312.png,defect,No,False,Incorrect
defect\0FC50X919820572_transformed_0FC50X919820572_green_FFF_1748330348483.png,defect,Yes,True,Correct
defect\0FC50X91AS200A9_transformed_0FC50X91AS200A9_green_FFF_1747034308218.png,defect,Yes,True,Correct
defect\0FC50X91BR2014V_transformed_0FC50X91BR2014V_green_FFF_1746609448143.png,defect,Yes,True,Correct
defect\0FC52X932L2035Y_transformed_0FC52X932L2035Y_green_FFF_1745399892297.png,defect,Yes,True,Correct
defect\0GC321Y1CC201HW_transformed_0GC321Y1CC201HW_green_FFF_1745302541188.png,defect,Yes,True,Correct
defect\0GC321Y24S2031K_transformed_0GC321Y24S2031K_green_FFF_1746685765229.png,defect,No,False,Incorrect
defect\0GC60Y922C30001_transformed_0GC60Y922C30001_green_FFF_1747644230648.png,defect,Yes,True,Correct
defect\0GC60Y9235203FV_transformed_0GC60Y9235203FV_green_FFF_1745383501865.png,defect,No,False,Incorrect
defect\0GC60Y9235203JW_transformed_0GC60Y9235203JW_green_FFF_1745383615222.png,defect,Yes,True,Correct
defect\0GC60Y9235204H0_transformed_0GC60Y9235204H0_green_FFF_1745383127664.png,defect,Yes,True,Correct
defect\0GC60Y925320AJW_transformed_0GC60Y925320AJW_green_FFF_1746792806104.png,defect,No,False,Incorrect
defect\0HC11321CJ21074_transformed_0HC11321CJ21074_green_FFF_1746609345509.png,defect,Yes,True,Correct
defect\0HC11321CJ23096_transformed_0HC11321CJ23096_green_FFF_1746607226708.png,defect,Yes,True,Correct
defect\0HC11321CK20753_transformed_0HC11321CK20753_green_FFF_1746607117372.png,defect,Yes,True,Correct
defect\0HC113224121639_transformed_0HC113224121639_green_FFF_1746771049766.png,defect,No,False,Incorrect
defect\0HC113224P80096_transformed_0HC113224P80096_green_FFF_1745835400656.png,defect,Yes,True,Correct
defect\0HC2BGX1AB202FX_transformed_0HC2BGX1AB202FX_green_FFF_1744980057433.png,defect,No,False,Incorrect
defect\0HC328A2662046H_transformed_0HC328A2662046H_green_FFF_1745834464993.png,defect,No,False,Incorrect
defect\0HC328A32C201EV_transformed_0HC328A32C201EV_green_FFF_1746783551791.png,defect,Yes,True,Correct
defect\0HC328A33A203DB_transformed_0HC328A33A203DB_green_FFF_1746784380659.png,defect,No,False,Incorrect
defect\0HC338A35920219_transformed_0HC338A35920219_green_FFF_1748405997551.png,defect,Yes,True,Correct
defect\0JC105623N2063Q_transformed_0JC105623N2063Q_green_FFF_1747202910535.png,defect,Yes,True,Correct
defect\0JC105625M207TB_transformed_0JC105625M207TB_green_FFF_1747131740052.png,defect,Yes,True,Correct
defect\0JC105626W2003K_transformed_0JC105626W2003K_green_FFF_1747131565355.png,defect,Yes,True,Correct
defect\0JC105631520AQ2_transformed_0JC105631520AQ2_green_FFF_1747138345216.png,defect,Yes,True,Correct
defect\0JC105631520AQJ_transformed_0JC105631520AQJ_green_FFF_1747206459081.png,defect,No,False,Incorrect
defect\0JC105631W20B1Y_transformed_0JC105631W20B1Y_green_FFF_1747130943322.png,defect,Yes,True,Correct
defect\0JC105634J2020X_transformed_0JC105634J2020X_green_FFF_1747205284818.png,defect,Yes,True,Correct
defect\0JC105634K201VK_transformed_0JC105634K201VK_green_FFF_1747204416307.png,defect,Yes,True,Correct
